subscriber_key_json, destination_record_associations_json
"{""id"":""d0aea7c4-8755-4a6a-ba71-a0128daf2113"",""type"":""BillingAccount""}","[{""destRecId"":""da0682d9-8edb-4875-8505-ec3c0b8d42ed"",""contactId"":""af9f2c67-2e24-4f07-b537-6d0341896fd9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""4efd64f9-895d-493c-9d42-dc9ca3d98631"",""contactId"":""af9f2c67-2e24-4f07-b537-6d0341896fd9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""41fb643c-3808-4177-8100-dc867e63775c"",""type"":""BillingAccount""}","[{""destRecId"":""ded6726a-d86e-40de-aa5f-cde88f8a1929"",""contactId"":""0b3a9163-a419-4972-80b0-b467cca29263"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""a1b72dba-8f7c-4a5d-83f7-fd0e63f1389b"",""type"":""BillingAccount""}","[{""destRecId"":""12f2ea81-f513-40cd-9940-73c2ebadfa3f"",""contactId"":""2b0e5b9f-a2a5-490f-8fd4-324f01914017"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""15a64b9c-bff7-47a5-aeaa-4489f17e91ee"",""contactId"":""2b0e5b9f-a2a5-490f-8fd4-324f01914017"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""e656dea4-0402-4419-84d8-79c0e2230940"",""type"":""Customer""}","[{""destRecId"":""0640266f-e2af-4f70-82cc-850e0ef5bb18"",""contactId"":""28174b27-74f4-4ac4-881b-fe783cab7bef"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""0640266f-e2af-4f70-82cc-850e0ef5bb18"",""contactId"":""28174b27-74f4-4ac4-881b-fe783cab7bef"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""0640266f-e2af-4f70-82cc-850e0ef5bb18"",""contactId"":""28174b27-74f4-4ac4-881b-fe783cab7bef"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""89212267-e4f4-4f41-b254-8f001d8e9b26"",""contactId"":""28174b27-74f4-4ac4-881b-fe783cab7bef"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_EmEx_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""6fac160f-ca17-400f-8903-6ef2533eeb83"",""type"":""BillingAccount""}","[{""destRecId"":""7374fcda-07b1-4902-8bf2-3f9fd66780f8"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""3bf075a0-59ba-4a31-ab32-aaff6066dfd5"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""8964e9e5-a37a-4f85-be00-f7fc57d0d649"",""type"":""Customer""}","[{""destRecId"":""9197c95e-abfa-4fac-a86c-200fec9bd44f"",""contactId"":""d7e8f765-2e35-4d9d-8413-0c1dd0c693ee"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""9197c95e-abfa-4fac-a86c-200fec9bd44f"",""contactId"":""d7e8f765-2e35-4d9d-8413-0c1dd0c693ee"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""9197c95e-abfa-4fac-a86c-200fec9bd44f"",""contactId"":""d7e8f765-2e35-4d9d-8413-0c1dd0c693ee"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""99f13163-5592-44a7-aceb-9f50ed6b371d"",""contactId"":""d7e8f765-2e35-4d9d-8413-0c1dd0c693ee"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""99f13163-5592-44a7-aceb-9f50ed6b371d"",""contactId"":""d7e8f765-2e35-4d9d-8413-0c1dd0c693ee"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""314af572-424a-4c5d-bd87-e10520b50028"",""type"":""Customer""}","[{""destRecId"":""ad0ca9fb-3580-49de-9d8d-a1614af215f4"",""contactId"":""c8b5cd65-5506-4f34-b671-83e83c8cfea8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""c025d95f-1c75-4cde-a5f2-5ac262419561"",""contactId"":""c8b5cd65-5506-4f34-b671-83e83c8cfea8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""c025d95f-1c75-4cde-a5f2-5ac262419561"",""contactId"":""c8b5cd65-5506-4f34-b671-83e83c8cfea8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""c025d95f-1c75-4cde-a5f2-5ac262419561"",""contactId"":""c8b5cd65-5506-4f34-b671-83e83c8cfea8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ad0ca9fb-3580-49de-9d8d-a1614af215f4"",""contactId"":""c8b5cd65-5506-4f34-b671-83e83c8cfea8"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""8611e46d-b886-4faa-9ad8-a10c282c03a5"",""type"":""BillingAccount""}","[{""destRecId"":""ac52d3e4-9aeb-476e-bd95-00aceee96af3"",""contactId"":""646ddd4b-60f5-4561-9516-e16b5abf9182"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""12a0c2c0-e1ca-4526-ac0e-e5a53306911a"",""contactId"":""646ddd4b-60f5-4561-9516-e16b5abf9182"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""038539c4-6952-4fa4-a507-7bec46cdd027"",""type"":""Customer""}","[{""destRecId"":""b2966ccf-1918-4684-bf54-ee2b5ddb16ff"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f9ebb683-64a0-43b3-aa82-67a66b139c4f"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""17a17761-b46c-4b7a-96fd-0dc436da8ab2"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""7374fcda-07b1-4902-8bf2-3f9fd66780f8"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""3bf075a0-59ba-4a31-ab32-aaff6066dfd5"",""contactId"":""7e53dcfd-a6b4-476c-969e-5a327505cf9f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""d9ee453a-1723-40e5-8392-9fae96165e49"",""type"":""BillingAccount""}","[{""destRecId"":""96f664b2-a666-43c8-a6d9-a40f55b72b5e"",""contactId"":""f43a4fae-96d7-48a5-abd5-01dc2087bfe9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""1833d91d-9e3d-410b-aac9-670cf403a000"",""contactId"":""f43a4fae-96d7-48a5-abd5-01dc2087bfe9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""5ab9d412-4409-43b8-825c-1ac03a182c70"",""contactId"":""f43a4fae-96d7-48a5-abd5-01dc2087bfe9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""47bac62d-7837-4e2c-a8d1-f76e26f8ed10"",""contactId"":""f43a4fae-96d7-48a5-abd5-01dc2087bfe9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_EmEx_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f29f49eb-0d4a-4fcf-860d-6cb50b2f7429"",""contactId"":""f43a4fae-96d7-48a5-abd5-01dc2087bfe9"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
